Stations,LAT,LON,Eng_Location
浜田山駅,35.681866,139.62715,"Hamadayama Station, Japan"
吉祥寺駅,35.703148,139.5798,"Japan, Tokyo, Musashino, 吉祥寺南町1丁目 Kichijoji Station"
十条駅,35.760258,139.72224,"Jujo, 1-chōme-12 Kamijūjō, Kita City, Tōkyō-to 114-0034, Japan"
千石駅,35.727875,139.74487,"Sengoku Station, 1-29-13 Sengoku, Bunkyo City, Tokyo 112-0011, Japan"
松原駅,35.660107,139.64201,"Matsubara Station, ４丁目-１０-8 松原 世田谷区 東京都 156-0043, Japan"
乃木坂駅,35.66649,139.72624,"Japan, 〒107-0062 東京都港区南青山１丁目２５−８ Nogizaka Station"
戸越公園駅,35.608913,139.71838,"Togoshi-Koen Station, Japan"
新桜台駅,35.741238,139.66881999999998,"Shin-Sakuradai Station, １丁目-２９-1 桜台 練馬区 東京都 176-0002, Japan"
水元そよ風園,35.789190000000005,139.86295,"5 Chome-16-11 Mizumoto, Katsushika City, Tokyo 125-0032, Japan"
祐天寺駅,35.637157,139.69075,"Japan, 〒153-0052 Tōkyō-to, Meguro City, Yūtenji, 2-chōme−13, 祐天寺"
四谷三丁目駅,35.68793,139.72063,"Yotsuya-Sanchome Station, Japan"
板橋区役所前駅,35.751259999999995,139.71002,"Itabashikuyakushomae Sta., 2 Chome-66-１７ Itabashi, Itabashi City, Tokyo 173-0004, Japan"
中野新橋駅,35.691959999999995,139.67375,"Japan, 〒164-0013 Tōkyō-to, Nakano City, Yayoichō, 2-chōme−25, 中野新橋"
西巣鴨駅,35.74333,139.72858,"Japan, 〒170-0001 Tōkyō-to, Toshima City, Nishisugamo, 3-chōme−25, 西巣鴨"
高島平駅,35.788918,139.66127,"Japan, 〒175-0082 Tōkyō-to, Itabashi City, Takashimadaira, 8-chōme−2, 高島平"
青物横丁駅,35.60928,139.74298000000002,"Japan, 〒140-0004 Tōkyō-to, Shinagawa City, Minamishinagawa, 青物横丁"
雪が谷大塚駅,35.591934,139.681,"Yukigaya-ōtsuka Sta., ２丁目-２-16 南雪谷 大田区 東京都 145-0066, Japan"
門前仲町駅,35.67203,139.79568,"Monzen-nakacho Station, Japan"
梅屋敷駅,35.566807,139.72824,"Umeyashiki Station, Japan"
新井薬師前駅,35.715790000000005,139.67195,"Araiyakushi-Mae Station, Japan"
本蓮沼駅,35.768809999999995,139.70218,"Motohasunuma Station, 7 Izumichō, Itabashi City, Tōkyō-to 174-0055, Japan"
湯島駅,35.70682,139.76998999999998,"Yushima Station, Japan"
代々木公園駅,35.6691,139.68976999999998,"Japan, Tōkyō-to, Shibuya City, 代々木公園"
方南町駅,35.683487,139.65791000000002,"Japan, Tōkyō-to, Suginami City, 12, 方南町"
ときわ台駅,35.758755,139.68916000000002,"Japan, Tōkyō-to, Itabashi City, 2-chōme−1, ときわ台"
祖師ヶ谷大蔵駅,35.64332,139.60957,"Soshigaya-Okura Station, Japan"
根津駅,35.717346,139.76573,"Nezu Station, Japan"
銀座一丁目駅,35.674393,139.76698000000002,"Japan, 〒104-0061 東京都中央区銀座1丁目7−12 Ginza-itchōme Station"
青砥駅,35.745846,139.85626000000002,"Aoto Station, Japan"
長原駅,35.60222,139.69797,"Nagahara, 1-chōme Kamiikedai, Ota City, Tōkyō-to 145-0064, Japan"
戸越銀座駅,35.615974,139.71503,"Japan, 〒142-0051 Tōkyō-to, Shinagawa City, Hiratsuka, 1-chōme, 戸越銀座"
成増駅,35.777412,139.63315,"Japan, 成増駅"
中野富士見町駅,35.69055,139.66693,"Nakanofujimicho Station, Japan"
新富町駅,35.670586,139.77351000000002,"Shintomicho Station, Japan"
小岩駅,35.732956,139.88187,"Koiwa, 7-chōme Minamikoiwa, Edogawa City, Tōkyō-to 133-0056, Japan"
浜町駅,35.688404,139.78773,"Hamacho Station, ２-５９-3 日本橋浜町 中央区 東京都 103-0007, Japan"
勝どき駅,35.658978000000005,139.77715,"Kachidoki Station, 2 Chome-10-15 Kachidoki, Chuo City, Tokyo, Japan"
東池袋駅,35.726017,139.719,"Japan, 〒170-0013 Tokyo, Toshima City, Higashiikebukuro, 4-4-4 Higashi-Ikebukuro Station"
