,Stations,LAT,LON,ShinjukuMade,ShinjukuDist,TokyoMade,TokyoDist,ShibuyaMade,ShibuyaDist,IkebukuroMade,IkebukuroDist,UenoMade,UenoDist,ShinagawaMade,ShinagawaDist,Lat_Lon
91,中村橋駅,35.736774,139.63754,30.58333333333333,9.6 km,36.38333333333333,19.3 km,37.13333333333333,15.8 km,25.58333333333333,8.2 km,42.73333333333333,14.5 km,45.8,26.3 km,"35.736774, 139.63754"
92,広尾駅,35.65084,139.72229,19.016666666666666,5.8 km,10.166666666666666,8.3 km,7.7,2.5 km,25.766666666666666,17.4 km,14.983333333333333,12.0 km,17.583333333333332,5.4 km,"35.65084, 139.72229"
93,谷在家駅,35.788784,139.77003,30.15,21.1 km,28.266666666666666,23.8 km,32.65,24.4 km,22.066666666666666,16.0 km,27.75,9.9 km,43.28333333333333,20.9 km,"35.788784, 139.77003"
94,池尻大橋駅,35.650627,139.68459,20.05,8.1 km,17.25,15.0 km,9.55,4.6 km,27.38333333333333,13.8 km,22.066666666666666,18.7 km,22.4,15.2 km,"35.650627, 139.68459"
95,谷塚駅,35.814217,139.80135,43.51666666666666,31.9 km,39.35,16.9 km,45.48333333333333,28.2 km,34.9,19.8 km,31.75,12.3 km,47.26666666666666,23.2 km,"35.814217, 139.80135"
96,護国寺駅,35.719124,139.72746,19.433333333333334,5.2 km,12.983333333333333,8.0 km,22.58333333333333,14.8 km,12.283333333333333,3.2 km,18.416666666666668,5.4 km,22.4,15.0 km,"35.719124, 139.72746"
97,石川台駅,35.59693,139.68527,29.6,13.7 km,22.766666666666666,15.3 km,24.566666666666666,10.1 km,38.36666666666667,24.5 km,27.6,19.0 km,27.566666666666666,8.1 km,"35.59693, 139.68527"
98,自由が丘駅,35.607273,139.66867,34.5,13.3 km,28.816666666666666,17.3 km,24.23333333333333,9.0 km,43.33333333333334,21.3 km,33.63333333333333,21.0 km,33.61666666666667,10.0 km,"35.607273, 139.66867"
99,経堂駅,35.651276,139.63669,21.183333333333334,8.5 km,32.73333333333333,22.0 km,22.68333333333333,7.2 km,29.8,14.2 km,35.36666666666667,22.4 km,37.88333333333333,22.1 km,"35.651276, 139.63669"
100,瑞江駅,35.693264,139.89767,41.48333333333333,22.1 km,21.9,14.6 km,32.21666666666667,24.8 km,35.3,25.0 km,31.41666666666667,14.0 km,31.566666666666666,21.0 km,"35.693264, 139.89767"
101,若松河田駅,35.69923,139.7181,10.0,2.3 km,23.316666666666666,6.2 km,18.983333333333334,5.7 km,17.533333333333335,5.2 km,22.88333333333333,6.0 km,30.4,12.9 km,"35.69923, 139.7181"
102,篠崎駅,35.70595,139.90393,42.31666666666667,22.6 km,22.73333333333333,15.0 km,35.46666666666667,24.2 km,40.55,28.3 km,32.23333333333333,14.4 km,32.4,21.5 km,"35.70595, 139.90393"
103,上野毛駅,35.61199600000001,139.63884,30.566666666666666,13.9 km,31.316666666666666,17.5 km,24.35,8.5 km,42.18333333333333,17.7 km,36.13333333333333,21.2 km,37.46666666666667,12.2 km,"35.61199600000001, 139.63884"
104,大森町駅,35.57247,139.73209,29.36666666666667,22.3 km,15.95,13.5 km,22.41666666666667,18.2 km,34.35,25.6 km,20.766666666666666,17.2 km,20.666666666666668,7.3 km,"35.57247, 139.73209"
105,新橋駅,35.666378,139.75835,24.2,7.4 km,5.3,2.5 km,16.75,6.8 km,23.766666666666666,14.2 km,10.883333333333333,7.2 km,15.3,6.0 km,"35.666378, 139.75835"
106,神泉駅,35.657238,139.69365,18.95,4.9 km,16.683333333333334,12.3 km,4.666666666666667,0.9 km,34.766666666666666,9.7 km,21.5,15.9 km,30.1,8.5 km,"35.657238, 139.69365"
107,王子駅,35.752285,139.73824,25.316666666666666,12.7 km,29.68333333333333,9.4 km,27.816666666666666,16.1 km,17.45,4.4 km,22.5,7.1 km,32.85,22.4 km,"35.752285, 139.73824"
108,上北沢駅,35.66887,139.62338,15.5,8.1 km,26.23333333333333,16.3 km,21.0,11.0 km,24.11666666666667,13.8 km,29.68333333333333,21.9 km,32.2,21.7 km,"35.66887, 139.62338"
109,新板橋駅,35.74881,139.72017,17.916666666666668,10.2 km,16.033333333333335,12.9 km,20.4,13.6 km,9.816666666666666,5.1 km,20.78333333333333,11.5 km,25.43333333333333,20.0 km,"35.74881, 139.72017"
110,清澄白河駅,35.68225,139.79878,22.85,14.3 km,13.483333333333333,4.0 km,23.36666666666667,13.5 km,24.03333333333333,14.7 km,17.033333333333335,4.8 km,20.3,10.8 km,"35.68225, 139.79878"
111,曳舟駅,35.71837199999999,139.81691,35.65,16.3 km,16.066666666666666,8.7 km,28.816666666666666,18.0 km,29.3,21.1 km,15.4,4.8 km,25.73333333333333,15.2 km,"35.71837199999999, 139.81691"
112,板橋駅,35.745564,139.72002,27.18333333333333,7.4 km,20.233333333333334,14.0 km,24.61666666666667,14.7 km,14.133333333333333,3.1 km,26.63333333333333,7.4 km,29.65,21.1 km,"35.745564, 139.72002"
113,荏原中延駅,35.609962,139.71196,23.41666666666667,11.1 km,16.2,12.7 km,20.58333333333333,6.2 km,31.78333333333333,21.8 km,21.016666666666666,16.4 km,20.516666666666666,5.4 km,"35.609962, 139.71196"
114,新御徒町駅,35.70706,139.78195,30.7,9.0 km,13.816666666666665,3.5 km,23.2,14.3 km,27.61666666666667,11.3 km,3.9166666666666665,1.1 km,20.133333333333333,11.6 km,"35.70706, 139.78195"
